tau(ps),g2
-9.900000000000000000e+03,4.909476776856385172e+00
-9.700000000000000000e+03,3.326415822709297032e+00
-9.500000000000000000e+03,5.323814224194209466e+00
-9.300000000000000000e+03,4.693419091688153522e+00
-9.100000000000000000e+03,4.625973079675872235e+00
-8.900000000000000000e+03,5.508049013647950076e+00
-8.700000000000000000e+03,4.655744047425960375e+00
-8.500000000000000000e+03,4.933895528346764259e+00
-8.300000000000000000e+03,5.025997575887587665e+00
-8.100000000000000000e+03,5.453751220809930800e+00
-7.900000000000000000e+03,3.858829373130166829e+00
-7.700000000000000000e+03,4.804670935241435181e+00
-7.500000000000000000e+03,4.414855166629754635e+00
-7.300000000000000000e+03,6.291324726413250801e+00
-7.100000000000000000e+03,3.828959705512926970e+00
-6.900000000000000000e+03,4.461103314436516420e+00
-6.700000000000000000e+03,4.043276082410399042e+00
-6.500000000000000000e+03,4.286261921836653777e+00
-6.300000000000000000e+03,5.506571456418836163e+00
-6.100000000000000000e+03,5.097396728947733990e+00
-5.900000000000000000e+03,4.156789935768221866e+00
-5.700000000000000000e+03,3.959169826900692080e+00
-5.500000000000000000e+03,4.735761334696322322e+00
-5.300000000000000000e+03,5.571324083229545643e+00
-5.100000000000000000e+03,4.568680655673037272e+00
-4.900000000000000000e+03,6.514693002300228741e+00
-4.700000000000000000e+03,5.377295399695625200e+00
-4.500000000000000000e+03,4.036477738488211564e+00
-4.300000000000000000e+03,4.576191403105617006e+00
-4.100000000000000000e+03,5.758398561598551346e+00
-3.900000000000000000e+03,3.908681995973644518e+00
-3.700000000000000000e+03,5.331863869225466068e+00
-3.500000000000000000e+03,4.953561247128487999e+00
-3.300000000000000000e+03,4.272305356264376464e+00
-3.100000000000000000e+03,4.931557609705847334e+00
-2.900000000000000000e+03,4.984957913807734897e+00
-2.700000000000000000e+03,5.185162966682014485e+00
-2.500000000000000000e+03,5.305786335051574376e+00
-2.300000000000000000e+03,4.787979997371916596e+00
-2.100000000000000000e+03,5.218774590715168138e+00
-1.900000000000000000e+03,4.718537564583090926e+00
-1.700000000000000000e+03,4.926830125007497507e+00
-1.500000000000000000e+03,5.141897319330138494e+00
-1.300000000000000000e+03,5.446340459834948966e+00
-1.100000000000000000e+03,4.151312736436515216e+00
-9.000000000000000000e+02,4.168576207054969451e+00
-7.000000000000000000e+02,4.825357839240842495e+00
-5.000000000000000000e+02,6.281627694213870683e+00
-3.000000000000000000e+02,4.033257770196527758e+00
-1.000000000000000000e+02,5.383592708538007088e+00
1.000000000000000000e+02,5.130034587811109326e+00
3.000000000000000000e+02,5.069594612178895510e+00
5.000000000000000000e+02,4.646714939467231353e+00
7.000000000000000000e+02,4.377108440899796449e+00
9.000000000000000000e+02,6.022350862748492517e+00
1.100000000000000000e+03,3.577062573053165551e+00
1.300000000000000000e+03,4.541852855469882932e+00
1.500000000000000000e+03,4.843892093623707318e+00
1.700000000000000000e+03,5.254347346186889922e+00
1.900000000000000000e+03,5.630317931199281034e+00
2.100000000000000000e+03,5.641908456939441763e+00
2.300000000000000000e+03,4.557791321726515577e+00
2.500000000000000000e+03,5.141499579083365745e+00
2.700000000000000000e+03,4.861279260723713413e+00
2.900000000000000000e+03,5.274010859384989480e+00
3.100000000000000000e+03,4.971173199959456390e+00
3.300000000000000000e+03,4.647694034797432927e+00
3.500000000000000000e+03,5.470242185764251808e+00
3.700000000000000000e+03,4.885878686272585369e+00
3.900000000000000000e+03,4.249674781696755055e+00
4.100000000000000000e+03,4.821591805203705228e+00
4.300000000000000000e+03,3.472968215955432481e+00
4.500000000000000000e+03,4.738179940938132439e+00
4.700000000000000000e+03,5.508901104121164849e+00
4.900000000000000000e+03,5.137337826584444933e+00
5.100000000000000000e+03,5.013361052113978644e+00
5.300000000000000000e+03,4.716687998916145652e+00
5.500000000000000000e+03,5.088279397644064339e+00
5.700000000000000000e+03,4.323475080128358350e+00
5.900000000000000000e+03,5.907458887223248745e+00
6.100000000000000000e+03,4.263714975648090544e+00
6.300000000000000000e+03,3.796276999782539630e+00
6.500000000000000000e+03,3.906097051966895162e+00
6.700000000000000000e+03,3.896288821593162588e+00
6.900000000000000000e+03,6.243760764176431444e+00
7.100000000000000000e+03,5.418460596243382277e+00
7.300000000000000000e+03,4.734685745082591879e+00
7.500000000000000000e+03,5.486805751179513635e+00
7.700000000000000000e+03,5.513774708734572094e+00
7.900000000000000000e+03,5.059402610254672972e+00
8.100000000000000000e+03,6.512483742704016976e+00
8.300000000000000000e+03,3.878314601652033122e+00
8.500000000000000000e+03,4.979060550795749940e+00
8.700000000000000000e+03,4.942416800676181055e+00
8.900000000000000000e+03,3.868998032627707584e+00
9.100000000000000000e+03,5.344117356643126371e+00
9.300000000000000000e+03,4.371789308394440354e+00
9.500000000000000000e+03,4.447746483811197749e+00
9.700000000000000000e+03,4.452530027093312803e+00
9.900000000000000000e+03,3.737918176097739131e+00
